imdb_id,title,year_raw,released,runtime_raw,genres,director,writer,actors,language,country,awards,imdb_rating_raw,imdb_votes_raw,metascore_raw,box_office_raw,production,plot,rated,year,runtime_min,imdb_rating,imdb_votes,metascore,box_office_usd,decade,genres_list
tt1045772,I Love You Phillip Morris,2009,07 Jan 2011,98 min,"Biography, Comedy, Crime","Glenn Ficarra, John Requa","John Requa, Glenn Ficarra, Steve McVicker","Jim Carrey, Ewan McGregor, Leslie Mann","English, Spanish","France, United States",6 wins & 11 nominations total,6.6,"101,700",65,"$2,037,459",N/A,"A cop turns con man once he comes out of the closet. Once imprisoned, he meets the second love of his life, whom he'll stop at nothing to be with.",R,2009,98,6.6,101700,65.0,2037459.0,2000,"['Biography', 'Comedy', 'Crime']"
tt2205697,Stuck in Love.,2012,02 May 2013,97 min,"Comedy, Drama, Romance",Josh Boone,"Josh Boone, Rick Bitzelberger","Greg Kinnear, Jennifer Connelly, Lily Collins",English,United States,3 wins total,7.2,"94,007",49,"$81,071",N/A,"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.",R,2012,97,7.2,94007,49.0,81071.0,2010,"['Comedy', 'Drama', 'Romance']"
tt1859650,To Rome with Love,2012,06 Jul 2012,112 min,"Comedy, Music, Romance",Woody Allen,Woody Allen,"Woody Allen, Penélope Cruz, Jesse Eisenberg","English, Italian","United States, Italy, Spain",2 wins & 5 nominations total,6.3,"92,397",54,"$16,685,867",N/A,"The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.",R,2012,112,6.3,92397,54.0,16685867.0,2010,"['Comedy', 'Music', 'Romance']"
tt0364517,Love Me If You Dare,2003,28 May 2004,93 min,"Comedy, Drama, Romance",Yann Samuell,Yann Samuell,"Guillaume Canet, Marion Cotillard, Thibault Verhaeghe",French,"France, Belgium",5 wins & 2 nominations,7.5,"72,863",45,"$553,504",N/A,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, the...",R,2003,93,7.5,72863,45.0,553504.0,2000,"['Comedy', 'Drama', 'Romance']"
tt3774694,Love,2015,30 Oct 2015,135 min,"Drama, Romance",Gaspar Noé,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin","English, French","France, Belgium, Brazil",2 wins & 1 nomination total,6.1,"70,922",51,"$249,083",N/A,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.",TV-MA,2015,135,6.1,70922,51.0,249083.0,2010,"['Drama', 'Romance']"
tt0391304,A Lot Like Love,2005,22 Apr 2005,107 min,"Comedy, Drama, Romance",Nigel Cole,Colin Patrick Lynch,"Ashton Kutcher, Amanda Peet, Taryn Manning","English, American Sign ",United States,1 win & 3 nominations,6.6,"71,820",48,"$21,845,719",N/A,"On a flight from LA to NY, Oliver and Emily make a connection, only to decide that they are not meant to be together. Over the next seven years, however, they are reunited repeatedly, and go from acquaintances to close friends to ...",PG-13,2005,107,6.6,71820,48.0,21845719.0,2000,"['Comedy', 'Drama', 'Romance']"
tt10752004,Love Hard,2021,05 Nov 2021,104 min,"Comedy, Romance",Hernán Jiménez,"Daniel Mackey, Rebecca Ewing","Nina Dobrev, Jimmy O. Yang, Darren Barnet",English,United States,1 win & 1 nomination total,6.3,"65,861",42,N/A,N/A,"An unlucky-in-love L.A. girl falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in...",TV-MA,2021,104,6.3,65861,42.0,,2020,"['Comedy', 'Romance']"
tt19637052,Love Lies Bleeding,2024,03 May 2024,104 min,"Crime, Drama, Mystery",Rose Glass,"Rose Glass, Weronika Tofilska","Anna Baryshnikov, Kristen Stewart, Dave Franco",English,"United Kingdom, United States",Nominated for 1 BAFTA Award5 wins & 49 nominations total,6.6,"59,554",77,"$8,335,797",N/A,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family.",R,2024,104,6.6,59554,77.0,8335797.0,2020,"['Crime', 'Drama', 'Mystery']"
tt0477139,Wristcutters: A Love Story,2006,02 Nov 2007,88 min,"Comedy, Drama, Fantasy",Goran Dukic,"Goran Dukic, Etgar Keret","Patrick Fugit, Shea Whigham, Tom Waits","English, Russian","United States, United Kingdom",9 wins & 6 nominations total,7.2,"58,781",62,"$446,165",N/A,A film set in a strange afterlife way station that has been reserved for people who have committed suicide.,R,2006,88,7.2,58781,62.0,446165.0,2000,"['Comedy', 'Drama', 'Fantasy']"
tt0150662,Show Me Love,1998,23 Oct 1998,89 min,"Comedy, Drama, Romance",Lukas Moodysson,Lukas Moodysson,"Alexandra Dahlström, Rebecka Liljeberg, Erica Carlson",Swedish,"Sweden, Denmark",19 wins & 8 nominations total,7.5,"56,818",73,"$169,331",N/A,"Two teenage girls in small-town Sweden. Elin is beautiful, popular, and bored with life. Agnes is friendless, sad, and secretly in love with Elin.",Not Rated,1998,89,7.5,56818,73.0,169331.0,1990,"['Comedy', 'Drama', 'Romance']"
tt0811138,The Love Guru,2008,20 Jun 2008,87 min,"Comedy, Romance, Sport",Marco Schnabel,"Mike Myers, Graham Gordy","Mike Myers, Jessica Alba, Romany Malco",English,"United Kingdom, Germany, United States",5 wins & 8 nominations,3.8,"55,534",24,"$32,235,793",N/A,"Pitka, an American raised outside of his country by gurus, returns to the States in order to break into the self-help business. His first challenge is to settle the romantic troubles and subsequent professional skid of a star hock...",PG-13,2008,87,3.8,55534,24.0,32235793.0,2000,"['Comedy', 'Romance', 'Sport']"
tt9354842,To All the Boys: P.S. I Still Love You,2020,12 Feb 2020,101 min,"Comedy, Drama, Romance",Michael Fimognari,"Sofia Alvarez, J. Mills Goodloe, Jenny Han","Lana Condor, Noah Centineo, Jordan Fisher",English,United States,2 wins & 4 nominations total,6.1,"51,054",54,N/A,N/A,Lara Jean and Peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture.,TV-14,2020,101,6.1,51054,54.0,,2020,"['Comedy', 'Drama', 'Romance']"
